car_make,id1,car_model,id2,link
Lincoln,15500,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15500;1&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,340 R,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;2&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Cortina,3,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;3&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Elan,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;4&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Elise,5,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;5&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Elite,6,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;6&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Esprit,7,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;7&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Europa,8,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;8&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Evora,11,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;11&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Excel,9,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;9&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Exige,10,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;10&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Super Seven,12,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;12&ref=quickSearch&sfmr=false&vc=Car
Lotus,15900,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=15900;1&ref=quickSearch&sfmr=false&vc=Car
Mahindra,16200,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16200;1&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,222,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;2&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,224,3,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;3&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,228,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;4&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,3200,5,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;5&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,418,6,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;6&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,420,7,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;7&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,4200,8,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;8&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,422,9,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;9&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,424,10,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;10&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,430,11,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;11&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Biturbo,12,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;12&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Ghibli,14,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;14&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,GranCabrio,13,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;13&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Gransport,15,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;15&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Granturismo,24,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;24&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Indy,16,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;16&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Karif,17,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;17&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Levante,21,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;21&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,MC12,18,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;18&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,MC20,34,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;34&ref=quickSearch&sfmr=false&vc=Car
